state_fips,state_abb,year,month,epop_all,urate_all,epop_prime,emp_overall_sa,emp_private_sa,emp_overall_nsa,emp_private_nsa,cases_level,deaths_level,cases_rate,deaths_rate,vax_rate,vax_1864_rate,quit_level_sa,quit_level_nsa,quit_rate_sa,quit_rate_nsa
1,AL,2020,1,0.5475185126233627,0.03280786302239014,0.7576819511448984,2087.5,1692.7,2062.7,1670.1,NA,NA,NA,NA,NA,NA,54,55,2.6,2.7
1,AL,2020,2,0.5553023106769335,0.0247088640630156,0.7723661561454309,2086.5,1692,2073.8,1678.9,NA,NA,NA,NA,NA,NA,51,42,2.4,2
1,AL,2020,3,0.550094670938772,0.032355641344601074,0.7601019975074103,2077.7,1682.9,2070.4,1674.5,322.57894736842104,2.210526315789474,6.572560060400208e-5,4.5039569674793397e-7,NA,NA,34,32,1.6,1.6
1,AL,2020,4,0.48381108387140803,0.13618250559462974,0.6785535931148688,1839.7,1454.4,1842.7,1455.7,4172.2,134.8,8.50087561749116e-4,2.746555853597163e-5,NA,NA,30,32,1.6,1.8
1,AL,2020,5,0.52597914058992,0.09079555322729302,0.7287201143064672,1886,1513.9,1892.3,1517.6,12001.064516129032,465.741935483871,0.002445222106540905,9.489512160006662e-5,NA,NA,27,32,1.4,1.7
1,AL,2020,6,0.5409304081001387,0.07529063895507393,0.7291392620046585,1930.5,1561.4,1938.9,1567.7,26676.233333333334,789.9,0.005435294125637272,1.6094246800863496e-4,NA,NA,39,42,2,2.2
1,AL,2020,7,0.5444072607293265,0.07910459543152289,0.720046393556873,1956.6,1578.7,1950.8,1580.7,61881.8064516129,1239.8709677419354,0.0126084449362644,2.5262424808284806e-4,NA,NA,49,58,2.5,3
1,AL,2020,8,0.5490816368485831,0.057252330682414664,0.7362942228532493,1969.9,1586.1,1969.9,1591.4,108253.48387096774,1899.4516129032259,0.022056694347039503,3.870140909528136e-4,NA,NA,53,60,2.7,3.1
1,AL,2020,9,0.5304872591357743,0.06609086453959732,0.7054995842072055,1980.1,1594.3,1979.9,1594.1,140909.93333333332,2380.633333333333,0.028710460105834768,4.850550754402962e-4,NA,NA,64,64,3.2,3.2
1,AL,2020,10,0.5531801368811412,0.03939948262999521,0.7478166465220544,2000,1614.4,2007.2,1618.1,172021.61290322582,2744,0.03504947832823294,5.59091191563102e-4,NA,NA,60,61,3,3.1
1,AL,2020,11,0.559190801236542,0.04082501346187089,0.753432082545921,2009,1624.5,2022.8,1634,219483.56666666668,3284.6,0.04471987201756057,6.692386763149289e-4,NA,NA,53,43,2.6,2.1
1,AL,2020,12,0.5486280841113859,0.039603793228852775,0.7513210755328473,2012.5,1629.1,2021.8,1635.5,306894.06451612903,4252.4838709677415,0.06252979891179522,8.664454353215115e-4,0,0,52,41,2.6,2
